,品种名称,代码,Beta,R^2,p_value
0,包钢股份,600010,0.95712890625,0.46224474788151704,[2.97317871e-08]
1,北方稀土,600111,0.7995117187499998,0.16011147872421205,[0.00329083]
2,恒力石化,600346,1.3081054687500009,0.2657443242704629,[9.19498484e-05]
3,华友钴业,603799,1.3610351562500007,0.14400987746462224,[0.00656788]
4,中远海控,601919,1.737597656250002,0.5663590709983932,[1.24684054e-10]
5,长城汽车,601633,1.6951171875000017,0.3209634499739319,[1.1972313e-05]
6,长江电力,600900,0.1928710937499993,0.047607067839962935,[0.12020002]
7,片仔癀,600436,1.1018554687500002,0.3654558730446368,[2.07453882e-06]
8,紫金矿业,601899,0.94921875,0.23076539156386033,[0.00036023]
9,航发动力,600893,0.9025390625,0.5084553176879052,[6.24314129e-09]
10,山西汾酒,600809,1.0387695312499998,0.20949232895244463,[0.00064571]
11,通威股份,600438,1.2836914062500009,0.16049756486101896,[0.00324997]
12,兆易创新,603986,1.816992187500002,0.2446243452965502,[0.00019375]
13,韦尔股份,603501,1.8990234375000021,0.2595600396428034,[0.00011458]
14,海天味业,603288,0.3206054687499994,0.046831831609763674,[0.1233365]
15,恒生电子,600570,1.8394531250000021,0.608058538275305,[9.62961476e-12]
16,闻泰科技,600745,2.138476562500003,0.24511167298228786,[0.00019049]
17,用友网络,600588,1.1399414062500002,0.19777562378044877,[0.00095608]
18,隆基股份,601012,1.1606445312500004,0.19845528615746855,[0.00105326]
19,中信建投,601066,2.4582031250000034,0.2556298723656917,[0.00013168]
20,海通证券,600837,1.5718750000000017,0.4315109703346163,[1.23150628e-07]
21,三一重工,600031,1.2602539062500004,0.3336412034805658,[7.34481132e-06]
22,药明康德,603259,0.7855468749999999,0.13647106151377608,[0.00703388]
23,复星医药,600196,1.2320312500000006,0.38931718824339834,[7.73140677e-07]
24,中国国旅,601888,0.8475585937499998,0.222333499714218,[0.0004179]
25,青岛海尔,600690,1.2208984375000005,0.3827403964441436,[1.01844693e-06]
26,恒瑞医药,600276,0.9066406249999999,0.3141538066903743,[1.55130816e-05]
27,海螺水泥,600585,1.3559570312500009,0.519629724653585,[1.6765755e-09]
28,万华化学,600309,1.5390625000000013,0.4375932739941597,[9.35080661e-08]
29,国泰君安,601211,1.2554687500000006,0.4772170946566543,[1.44621337e-08]
30,华泰证券,601688,1.643359375000002,0.4497158625262062,[5.35538635e-08]
31,伊利股份,600887,0.9234374999999999,0.31847018115819326,[1.31671569e-05]
32,农业银行,601288,0.4839843749999996,0.34410030926459145,[4.87709693e-06]
33,中国建筑,601668,0.9291992187499999,0.5040252022042329,[3.78157174e-09]
34,中国太保,601601,1.415917968750001,0.5016295056316098,[4.27515646e-09]
35,中国石油,601857,0.5459960937499996,0.46935149986291524,[2.11696327e-08]
36,中国神华,601088,1.098046875,0.5010496385490143,[4.40363129e-09]
37,中国平安,601318,1.314843750000001,0.6455629360525568,[7.5738675e-13]
38,兴业银行,601166,1.3077148437500008,0.47638837599509565,[1.50584256e-08]
39,中国人寿,601628,1.6755859375000015,0.48773496072386135,[8.61343898e-09]
40,保利地产,600048,0.9900390625000002,0.3399577208421244,[5.73979104e-06]
41,工商银行,601398,0.6052734374999995,0.34528656649164047,[4.65405315e-06]
42,贵州茅台,600519,0.8727539062499999,0.24366431370925123,[0.00020035]
43,中信证券,600030,1.6156250000000019,0.6346588866888103,[2.72078598e-12]
44,上海汽车,600104,1.02822265625,0.33135647190412776,[8.02580073e-06]
45,招商银行,600036,1.0923828125000001,0.540215834707175,[5.50809191e-10]
46,中国石化,600028,0.8075195312499999,0.5074118942488328,[3.17634533e-09]
