日期,sum
2019-01-04,1.0784063869610954
2019-01-11,1.1826091616569439
2019-01-18,1.7443606379846939
2019-01-25,0.8629978121848817
2019-02-01,1.1460105336446431
2019-02-15,1.1455573676978417
2019-02-22,4.0853676217624075
2019-03-01,6.7338450583690745
2019-03-08,-1.7080185548299887
2019-03-15,1.6675649460230202
2019-03-22,2.1375082519123705
2019-03-29,-0.8416176015841914
2019-04-04,5.201570111547783
2019-04-12,-1.5478732819218992
2019-04-19,2.880939259073795
2019-04-26,-5.41821547084439
2019-04-30,0.2705235756225572
2019-05-10,-4.4506699975223025
2019-05-17,-2.015098357700814
2019-05-24,-0.31122367634881837
2019-05-31,0.9994778321689749
2019-06-06,-0.9965722568463624
2019-06-14,1.6861297417022114
2019-06-21,3.866659337088045
2019-06-28,-0.5934458016879623
2019-07-05,1.3942911567527507
2019-07-12,-1.891807903498015
2019-07-19,0.4601295638062297
2019-07-26,0.8602791741805074
2019-08-02,-2.4368845143733586
2019-08-09,-3.0972684778783295
2019-08-16,0.7036003349726905
2019-08-23,1.6792366457535575
2019-08-30,-0.8312797682039572
2019-09-06,3.913663965901454
2019-09-12,1.1005470003377067
2019-09-20,-1.393291353578297
2019-09-27,-1.8901432265689015
2019-09-30,-0.6778771220257712
2019-10-11,2.3949728621787845
2019-10-18,-0.9397868281821603
2019-10-25,0.8687955391010117
2019-11-01,-0.29011934989683213
2019-11-08,0.02276298706010088
2019-11-15,-2.8891595676075807
2019-11-22,0.22986342664964174
2019-11-29,0.17440622645766335
2019-12-06,0.7377703982138498
2019-12-13,1.8837311839200117
2019-12-20,1.5931746547966157
2019-12-27,-0.11965756674794877
